,region,model,accuracy,score,loss,perplexity
220,HC-FR1,balmMoE,1.0,0.999961359500885,1.7306201698374934e-05,1.0000386476516723
221,HC-FR1,balmMoE,1.0,0.999754786491394,7.639911200385541e-05,1.0002454662322997
222,HC-FR1,balmMoE,1.0,0.9999099326133728,3.061116876779124e-05,1.0000900936126709
223,HC-FR1,balmMoE,1.0,0.9965937256813049,1.592410626471974e-05,1.0037153148651123
224,HC-FR1,balmMoE,1.0,0.9998285603523255,5.3100036893738434e-05,1.0001715660095214
225,HC-FR1,balmMoE,1.0,0.9999673986434936,1.6838273950270377e-05,1.0000326013565064
226,HC-FR1,balmMoE,1.0,0.978221378326416,0.007856743410229683,1.024038348197937
227,HC-FR1,balmMoE,1.0,0.9999120664596558,3.5810648114420474e-05,1.0000879526138307
228,HC-FR1,balmMoE,1.0,0.9999448847770691,8.932798664318398e-06,1.0000551319122315
229,HC-FR1,balmMoE,1.0,0.9999546384811402,1.178305501525756e-05,1.000045371055603
230,HC-FR1,balmMoE,1.0,0.9999581146240234,1.0135866432392504e-05,1.0000418901443482
231,HC-FR1,balmMoE,1.0,0.9999171590805054,2.6979958420270123e-05,1.0000828838348388
232,HC-FR1,balmMoE,1.0,0.9843950605392456,0.008752857334911823,1.01637770652771
233,HC-FR1,balmMoE,0.96,0.9851184940338135,5.419950684881769e-05,1.0682487487792969
234,HC-FR1,balmMoE,1.0,0.9999625778198242,2.444790516165085e-05,1.0000374221801758
235,HC-FR1,balmMoE,1.0,0.9998841738700867,3.6108023778069764e-05,1.0001159143447875
236,HC-FR1,balmMoE,1.0,0.9934581470489502,1.2009993952233344e-05,1.0078057432174683
237,HC-FR1,balmMoE,1.0,0.9999762344360351,1.9182505639037117e-05,1.0000237655639648
238,HC-FR1,balmMoE,1.0,0.9998922300338745,2.0335153749329038e-05,1.0001079320907593
239,HC-FR1,balmMoE,1.0,0.9999299669265747,2.1144680431461893e-05,1.00007004737854
240,HC-FR1,balmMoE,1.0,0.9998884057998657,3.737431688932702e-05,1.000111665725708
241,HC-FR1,balmMoE,1.0,0.9998431015014648,1.7868696886580437e-05,1.00015709400177
242,HC-FR1,balmMoE,1.0,0.99991046667099,5.113110091770068e-05,1.00008957862854
