,region,model,length,accuracy,score,loss,perplexity
1644,hcdr3,balm,13,0.6923076923076923,0.7229412129292121,0.21499620378017426,6.700681438812842
1645,lcdr3,balm,10,0.9,0.9644064426422119,3.86230276490096e-05,8.795714354515075
1646,hcdr3,balm,18,0.8888888888888888,0.8341752977834808,0.0005634557746816427,1.7601979308658176
1647,lcdr3,balm,8,0.75,0.931584008038044,0.03017663444916252,53.06647942960262
1648,hcdr3,balm,17,0.8235294117647058,0.8067496366360608,0.004997026175260544,3.2403165452620564
1649,lcdr3,balm,9,0.8888888888888888,0.9616317020522224,0.00014244495832826942,1.8151556783252292
1650,hcdr3,balm,20,0.4,0.5858313791453839,2.3839317560195923,21.787578547000884
1651,lcdr3,balm,11,0.9090909090909091,0.9725663445212624,7.426462980220094e-05,1.7633106708526611
1652,hcdr3,balm,14,0.7857142857142857,0.6179562690002578,0.38119296729564667,9.849372310297829
1653,lcdr3,balm,9,0.8888888888888888,0.9335597356160482,2.8013790142722428e-05,2.2366858853234186
1654,hcdr3,balm,22,0.7272727272727273,0.6724524179642851,0.2211451679468155,6.4967134323987095
1655,lcdr3,balm,11,1.0,0.915124470537359,2.6940935640595853e-05,1.215998042713512
1656,hcdr3,balm,16,0.5625,0.7088524308055639,0.8212759755551815,7.3468704000115395
1657,lcdr3,balm,10,1.0,0.9473762094974518,2.1099821424286347e-05,1.1004146695137025
1658,hcdr3,balm,18,0.7222222222222222,0.7929038786225848,0.0030523182940669358,3.4447111354933844
1659,lcdr3,balm,9,0.8888888888888888,0.9730801317426894,0.00014137222024146467,16.363314363691543
1660,hcdr3,balm,26,0.8461538461538461,0.7752744968120868,0.00021442145407490898,3.0180837420316844
1661,lcdr3,balm,11,0.9090909090909091,0.9085433158007535,3.3378546504536644e-06,67.10633639855818
1662,hcdr3,balm,23,0.8260869565217391,0.7956206092368001,0.004251726903021336,5.578280645868053
1663,lcdr3,balm,9,1.0,0.9630732205179002,1.9550132492440753e-05,1.0531224939558241
1664,hcdr3,balm,17,0.4117647058823529,0.5999282116399092,3.0394434928894043,24.17561904823079
1665,lcdr3,balm,11,0.9090909090909091,0.9806895581158724,1.3947389561508317e-05,6.927526658231562
1666,hcdr3,balm,19,0.5789473684210527,0.6724703288392017,0.033310987055301666,11.786792679836875
1667,lcdr3,balm,11,1.0,0.9286130720918829,1.3112935448589269e-05,1.1873098503459583
1668,hcdr3,balm,24,0.7916666666666666,0.7168886382132769,0.006713378941640258,7.367653568585713
1669,lcdr3,balm,9,1.0,0.941099637084537,1.823885577323381e-05,1.082542856534322
1670,hcdr3,balm,15,0.6666666666666666,0.7195806264877319,0.11262308061122894,24.066397857666015
1671,lcdr3,balm,10,1.0,0.9190729320049286,0.004768484039232135,1.1527151823043824
1672,hcdr3,balm,21,0.8095238095238095,0.7257328728834788,0.031273338943719864,18.124071285838173
1673,lcdr3,balm,12,1.0,0.9163056910037994,5.543216502701398e-06,1.1953368087609608
1674,hcdr3,balm,15,0.7333333333333333,0.7548016905784607,0.13256455957889557,4.2899254322052
1675,lcdr3,balm,9,0.8888888888888888,0.9667064481311374,6.55629628454335e-05,3.3360707759857178
1676,hcdr3,balm,19,0.631578947368421,0.6592390874498769,1.169957160949707,26.98352442917071
1677,lcdr3,balm,9,0.8888888888888888,0.9634743399090238,0.00010394509445177391,29.907331930266487
1678,hcdr3,balm,19,0.8947368421052632,0.8120696921097604,0.0073578800074756145,2.413409527979399
1679,lcdr3,balm,9,0.8888888888888888,0.9271739224592844,6.735097849741578e-05,1.2185922463734944
1680,hcdr3,balm,16,0.6875,0.7702044295147061,0.002249336801469326,6.738268189132214
1681,lcdr3,balm,11,0.9090909090909091,0.9393811307170175,5.960446742392378e-06,1.1389852978966453
1682,hcdr3,balm,13,0.46153846153846156,0.6413442882207724,1.4740076065063477,32.35624716832088
1683,lcdr3,balm,11,0.9090909090909091,0.9355293891646645,8.34461570775602e-06,15.274287863211198
1684,hcdr3,balm,14,0.6428571428571429,0.7585684827395848,0.14311633631587029,27.23280522653035
1685,lcdr3,balm,11,0.9090909090909091,0.9406657760793512,1.0490362910786644e-05,2.2150828404860063
1686,hcdr3,balm,15,0.5333333333333333,0.6007599085569382,1.5910210609436035,11.79941082795461
1687,lcdr3,balm,9,1.0,0.9597598446740044,3.2186455882765586e-06,1.0613308482699924
1688,hcdr3,balm,20,0.7,0.7522008396685124,0.1380419284105301,9.285891264677048
1689,lcdr3,balm,9,0.8888888888888888,0.881295790274938,5.340433563105762e-05,1.4368803368674383
1690,hcdr3,balm,16,0.6875,0.7394280880689621,0.09793216362595558,9.360053785145283
1691,lcdr3,balm,9,1.0,0.977301021416982,0.00013720047718379647,1.0251715183258057
1692,hcdr3,balm,14,0.2857142857142857,0.4506363868713379,2.277766704559326,28.052613973617554
1693,lcdr3,balm,10,1.0,0.9341063559055328,4.517929301073309e-05,1.1045400500297546
1694,hcdr3,balm,17,0.5294117647058824,0.6148234430481406,0.5402097105979919,18.79931652545929
1695,lcdr3,balm,11,0.9090909090909091,0.9427062002095309,2.9802276912960224e-06,641.754621180621
1696,hcdr3,balm,10,0.6,0.6083994016051293,0.49379393458366394,7.00296276807785
1697,lcdr3,balm,8,0.875,0.940214104950428,0.002333970041433986,2.2101086229085922
1698,hcdr3,balm,11,0.6363636363636364,0.5075695975260301,1.5770095586776733,15.980341000990434
1699,lcdr3,balm,9,1.0,0.9568248589833578,0.00030250742565840483,1.064526637395223
1700,hcdr3,balm,26,0.6153846153846154,0.6227381642048175,0.5843401253223419,18.591593160079075
1701,lcdr3,balm,8,0.875,0.905087411403656,3.9218517258632346e-05,1.3577375710010529
1702,hcdr3,balm,13,0.6153846153846154,0.7483567114059742,0.2038564532995224,15.51515034528879
1703,lcdr3,balm,9,0.8888888888888888,0.9277547167407142,4.207999518257566e-05,1.6572286950217352
1704,hcdr3,balm,10,0.6,0.611525259912014,0.5253034830093384,14.412914192676544
1705,lcdr3,balm,8,0.625,0.849128607660532,0.024184422101825476,8.960919752717018
1706,hcdr3,balm,13,0.46153846153846156,0.5076926384980862,1.5908795595169067,13.48005248950078
1707,lcdr3,balm,13,1.0,0.8917717543932108,1.4066597032069694e-05,1.2130003617360041
1708,hcdr3,balm,15,0.6666666666666666,0.6820535212755203,0.12919336557388306,5.9668962796529135
1709,lcdr3,balm,9,0.8888888888888888,0.9290386935075124,6.711257447022945e-05,1.185573869281345
1710,hcdr3,balm,18,0.8333333333333334,0.7560497141546674,0.09381411271169782,5.097413526640998
